Surface Order,Tcp [K],Illuminance [lx],Peak Wavelength [nm],Tristimulus Value X,Tristimulus Value Y,Tristimulus Value Z,CIE1931 x,CIE1931 y,CIE1931 z,CIE1976 u',CIE1976 v',Dominant Wavelength [nm]
1,3860,747,593,745.3878,747.4093,418.9907,0.3899,0.3909,0.2192,0.2256,0.5091,578
2,3907,549,592,545.6227,549.1271,312.1803,0.3878,0.3903,0.2219,0.2246,0.5085,578
3,3744,394,601,397.6966,393.5330,216.7272,0.3946,0.3904,0.2150,0.2289,0.5095,579
4,3638,309,602,313.5788,309.1455,159.9205,0.4007,0.3950,0.2043,0.2310,0.5123,579
5,3567,249,608,257.8868,248.5555,137.2482,0.4006,0.3861,0.2132,0.2346,0.5086,581
6,3989,174,599,173.1799,173.5863,105.7438,0.3827,0.3836,0.2337,0.2239,0.5049,578
7,4494,305,605,294.2883,305.0113,210.7304,0.3633,0.3765,0.2602,0.2140,0.4990,574
8,2721,323,618,380.7732,322.9671,170.1409,0.4357,0.3696,0.1947,0.2655,0.5068,591
9,2905,502,606,522.0173,501.7326,101.3696,0.4640,0.4459,0.0901,0.2500,0.5407,580
10,2254,228,622,286.8169,227.8669,90.2227,0.4742,0.3767,0.1492,0.2886,0.5159,592
11,4522,307,541,263.0890,306.5154,137.1236,0.3723,0.4337,0.1940,0.1996,0.5232,567
12,4686,225,457,227.5394,225.2887,191.3518,0.3532,0.3497,0.2970,0.2177,0.4850,580
13,2483,325,604,384.3060,324.5637,115.5705,0.4661,0.3937,0.1402,0.2745,0.5217,588
14,4767,216,457,231.8259,216.2475,218.5405,0.3478,0.3244,0.3278,0.2245,0.4711,-500
15,2092,249,614,328.9915,249.2488,107.1023,0.4800,0.3637,0.1563,0.2998,0.5111,596
16,3460,201,605,210.2297,201.3066,105.4951,0.4066,0.3894,0.2040,0.2371,0.5109,581
17,3624,396,586,367.3839,395.7808,107.4981,0.4220,0.4546,0.1235,0.2218,0.5375,574
18,2977,467,599,485.8807,466.5333,118.3143,0.4538,0.4357,0.1105,0.2479,0.5356,580
19,5129,459,544,388.3331,459.1697,275.9592,0.3457,0.4087,0.2456,0.1917,0.5100,561
20,4450,293,457,302.9389,293.1730,246.7984,0.3594,0.3478,0.2928,0.2227,0.4849,585
21,3957,220,592,206.5134,219.5734,98.4191,0.3937,0.4186,0.1876,0.2176,0.5207,574
22,4731,271,458,271.0591,271.4675,226.4922,0.3525,0.3530,0.2945,0.2159,0.4864,578
23,2831,325,609,367.1044,324.9851,143.0316,0.4396,0.3891,0.1713,0.2589,0.5158,586
24,2913,210,604,232.9108,209.7693,90.4315,0.4369,0.3935,0.1696,0.2552,0.5171,585
25,3954,26400,592,26322.3382,26412.3370,15676.3147,0.3848,0.3861,0.2291,0.2242,0.5063,578
